date,cm,direction,breadth,nifty_5m,outcome,exit_pct,bars
2026-03-16,600,SHORT,-0.2237,-0.1812,HIT_T1,0.1354,12
2026-03-16,630,SHORT,-0.0436,-0.005,HIT_T1,0.1438,20
2026-03-16,660,LONG,0.2635,0.2116,HIT_T1,0.1297,3
2026-03-16,720,LONG,0.0969,0.1106,HIT_T1,0.1148,24
2026-03-16,750,SHORT,-0.0887,-0.0673,HIT_T1,0.1213,4
2026-03-16,780,LONG,0.0743,0.0777,HIT_T1,0.1465,2
2026-03-16,810,SHORT,-0.0461,-0.0739,HIT_T1,0.1273,4
2026-03-17,600,LONG,0.102,0.1074,HIT_T1,0.1119,2
2026-03-17,630,SHORT,-0.2738,-0.2669,HIT_T1,0.1529,6
2026-03-17,660,SHORT,-0.0759,-0.0567,HIT_T1,0.1548,8
2026-03-17,690,SHORT,-0.0967,-0.0588,HIT_SL,-0.1987,21
2026-03-17,780,LONG,0.1728,0.1307,HIT_T1,0.1149,8
2026-03-17,810,LONG,0.1649,0.1595,HIT_SL,-0.2552,9
2026-03-18,600,SHORT,-0.081,-0.0736,HIT_T1,0.1155,3
2026-03-18,630,SHORT,-0.0787,-0.0662,HIT_SL,-0.1847,18
2026-03-18,720,SHORT,-0.0776,-0.0479,HIT_T1,0.1319,23
2026-03-18,780,LONG,0.0505,0.0835,HIT_T1,0.1289,20
2026-03-19,600,SHORT,-0.1132,-0.0813,HIT_SL,-0.1946,26
2026-03-19,630,LONG,0.0823,0.0643,HIT_T1,0.1278,9
2026-03-19,660,SHORT,-0.1023,-0.1057,HIT_T1,0.1273,14
2026-03-19,690,SHORT,-0.0638,-0.0241,EXPIRED,0.0,40
2026-03-19,720,SHORT,-0.0753,-0.0458,HIT_SL,-0.1784,17
2026-03-20,630,LONG,0.1059,0.0869,HIT_T1,0.1208,12
2026-03-20,780,SHORT,-0.0582,-0.0566,HIT_SL,-0.1844,22
2026-03-20,810,LONG,0.0455,0.0314,HIT_SL,-0.172,16
2026-03-23,600,SHORT,-0.1164,-0.1684,HIT_T1,0.12,15
2026-03-23,750,LONG,0.1445,0.099,HIT_T1,0.1959,7
2026-03-23,780,SHORT,-0.0411,-0.0327,EXPIRED,0.0,40
2026-03-23,810,LONG,0.0547,0.0798,HIT_T1,0.1914,14
2026-03-24,600,SHORT,-0.075,-0.0358,HIT_T1,0.1255,1
2026-03-24,630,SHORT,-0.1493,-0.1689,HIT_T1,0.1791,3
2026-03-24,660,SHORT,-0.052,-0.0545,HIT_SL,-0.1834,15
2026-03-24,690,LONG,0.1007,0.0748,HIT_T1,0.1441,5
2026-03-24,720,LONG,0.0803,0.0638,HIT_SL,-0.1907,5
2026-03-24,750,SHORT,-0.1951,-0.1921,HIT_SL,-0.211,3
2026-03-24,780,SHORT,-0.0597,-0.0653,HIT_T1,0.2014,5
2026-03-24,810,LONG,0.1693,0.1622,HIT_SL,-0.1813,18
2026-03-25,630,LONG,0.0493,0.0612,HIT_T1,0.1261,12
2026-03-25,810,LONG,0.0652,0.0821,HIT_T1,0.139,15
2026-03-27,600,SHORT,-0.0402,-0.0265,HIT_T1,0.1159,18
2026-03-27,630,LONG,0.0521,0.0298,HIT_SL,-0.1766,15
2026-03-27,660,LONG,0.1153,0.1115,HIT_SL,-0.181,24
2026-03-27,720,SHORT,-0.049,-0.0784,HIT_T1,0.1114,18
2026-03-27,750,LONG,0.103,0.0639,EXPIRED,0.0,40
2026-03-27,810,SHORT,-0.1582,-0.168,HIT_T1,0.1193,36
2026-03-30,600,SHORT,-0.0544,-0.0122,HIT_SL,-0.2508,3
2026-03-30,630,SHORT,-0.1051,-0.0845,HIT_T1,0.1833,23
2026-03-30,690,SHORT,-0.0449,-0.0743,HIT_SL,-0.2228,5
2026-03-30,750,SHORT,-0.1038,-0.0954,HIT_SL,-0.2419,9
2026-04-01,600,SHORT,-0.0571,0.014,HIT_T1,0.1264,11
2026-04-01,630,SHORT,-0.041,-0.0059,HIT_T1,0.123,29
2026-04-01,660,SHORT,-0.1438,-0.1135,HIT_SL,-0.1852,27
2026-04-01,720,LONG,0.2405,0.2491,HIT_T1,0.1717,3
2026-04-01,780,SHORT,-0.0432,-0.0144,HIT_T1,0.1117,19
2026-04-01,810,SHORT,-0.054,-0.0539,HIT_T1,0.1141,5
2026-04-02,630,LONG,0.0695,0.0367,HIT_T1,0.126,26
2026-04-02,660,LONG,0.04,0.0459,EXPIRED,0.0,40
2026-04-02,720,LONG,0.1363,0.1499,HIT_SL,-0.173,21
2026-04-02,750,LONG,0.1965,0.1783,HIT_T1,0.1155,5
2026-04-02,780,LONG,0.2782,0.1857,HIT_SL,-0.1718,6
2026-04-02,810,LONG,0.2996,0.2802,HIT_T1,0.146,10
2026-04-06,600,SHORT,-0.0941,-0.0556,HIT_SL,-0.1941,6
2026-04-06,630,SHORT,-0.1208,-0.1632,HIT_SL,-0.1969,5
2026-04-06,690,LONG,0.0746,0.075,HIT_T1,0.1172,14
